index_aleatoire;sexe;age_client;enfant_conduite_accompagnee;enfants;tranches_revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tranches_devis
175;M;15;Non;Oui;[20k€ - 40k€];Private;Pickup;yes;1;7;Highly Urban/ Urban;25/01/2022 05:05;complet;dev_express;[200€ - 400€]
176;M;55;Non;Non;[20k€ - 40k€];Private;Minivan;yes;3;17;Highly Urban/ Urban;11/02/2022 03:05;complet;dev_integral;[200€ - 400€]
177;M;77;Non;Non;[< 20k€];Private;z_SUV;no;2;10;Highly Urban/ Urban;10/02/2022 01:05;complet;dev_express;[200€ - 400€]
178;M;24;Non;Non;[40k€ - 60k€];Private;Minivan;yes;0;1;z_Highly Rural/ Rural;18/03/2022 08:18;complet;dev_integral;[200€ - 400€]
179;M;36;Non;Non;[80k€ - 100k€];Private;Sports Car;no;3;17;Highly Urban/ Urban;01/03/2022 14:18;complet;dev_express;[200€ - 400€]
180;M;38;Non;Oui;[> 100k€];Private;Van;no;0;13;Highly Urban/ Urban;11/03/2022 02:37;complet;dev_vip;[800€ - 1000€]
181;F;56;Non;Non;[40k€ - 60k€];Commercial;Panel Truck;no;2;8;Highly Urban/ Urban;13/03/2022 03:20;complet;dev_premium;[200€ - 400€]
182;F;49;Non;Oui;[60k€ - 80k€];Private;Minivan;yes;0;20;Highly Urban/ Urban;21/05/2022 22:01;complet;dev_integral;[200€ - 400€]
183;M;66;Non;Non;[> 100k€];Private;z_SUV;no;0;17;Highly Urban/ Urban;13/03/2022 23:40;complet;dev_express;[200€ - 400€]
184;F;5;Oui;Oui;[< 20k€];Commercial;Pickup;no;0;19;Highly Urban/ Urban;01/03/2022 20:07;complet;dev_integral;[200€ - 400€]
185;M;43;Non;Non;[20k€ - 40k€];Private;Pickup;no;2;1;Highly Urban/ Urban;01/02/2022 20:17;complet;dev_express;[200€ - 400€]
186;F;69;Non;Non;[60k€ - 80k€];Commercial;Panel Truck;no;7;15;Highly Urban/ Urban;10/02/2022 11:43;complet;dev_integral;[200€ - 400€]
187;F;71;Non;Non;[< 20k€];Private;Pickup;no;0;0;Highly Urban/ Urban;10/03/2022 21:24;complet;dev_integral;[200€ - 400€]
188;F;67;Non;Oui;[20k€ - 40k€];Private;z_SUV;no;0;11;Highly Urban/ Urban;08/01/2022 06:18;complet;dev_premium;[400€ - 600€]
189;F;62;Non;Non;[> 100k€];Private;Minivan;no;2;11;Highly Urban/ Urban;16/04/2022 00:49;complet;dev_express;[200€ - 400€]
190;F;69;Non;Non;[< 20k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;05/01/2022 12:35;complet;dev_premium;[400€ - 600€]
191;F;15;Non;Oui;[80k€ - 100k€];Commercial;Van;no;1;7;Highly Urban/ Urban;22/03/2022 08:53;complet;dev_express;[200€ - 400€]
192;F;22;Non;Oui;[40k€ - 60k€];Commercial;Pickup;yes;0;4;Highly Urban/ Urban;16/05/2022 17:40;complet;dev_integral;[200€ - 400€]
193;M;65;Non;Non;[60k€ - 80k€];Commercial;z_SUV;yes;0;13;Highly Urban/ Urban;04/05/2022 07:09;complet;dev_integral;[200€ - 400€]
194;M;63;Non;Non;[80k€ - 100k€];Private;Minivan;no;0;7;Highly Urban/ Urban;03/03/2022 11:24;complet;dev_integral;[200€ - 400€]
195;M;73;Non;Oui;[60k€ - 80k€];Private;z_SUV;no;2;6;Highly Urban/ Urban;28/05/2022 03:24;complet;dev_express;[200€ - 400€]
196;M;54;Non;Oui;[> 100k€];Private;Minivan;yes;0;8;Highly Urban/ Urban;25/03/2022 07:11;complet;dev_integral;[200€ - 400€]
197;M;53;Non;Non;[20k€ - 40k€];Private;Van;yes;3;1;Highly Urban/ Urban;16/01/2022 22:31;complet;dev_integral;[200€ - 400€]
198;M;77;Non;Non;[60k€ - 80k€];Commercial;Panel Truck;yes;0;16;Highly Urban/ Urban;12/04/2022 05:10;complet;dev_express;[200€ - 400€]
199;F;70;Non;Oui;[20k€ - 40k€];Private;Minivan;no;8;9;Highly Urban/ Urban;28/05/2022 00:32;complet;dev_vip;[600€ - 800€]
200;F;48;Non;Oui;[< 20k€];Private;z_SUV;no;0;5;z_Highly Rural/ Rural;24/01/2022 04:40;complet;dev_express;[200€ - 400€]
201;M;50;Non;Non;[20k€ - 40k€];Private;z_SUV;no;2;11;Highly Urban/ Urban;13/05/2022 05:41;complet;dev_express;[200€ - 400€]
202;F;57;Non;Non;[> 100k€];Private;Minivan;no;4;13;Highly Urban/ Urban;15/05/2022 03:11;complet;dev_premium;[200€ - 400€]
203;F;68;Non;Non;[20k€ - 40k€];Private;Minivan;yes;4;12;Highly Urban/ Urban;25/01/2022 02:36;complet;dev_premium;[400€ - 600€]
204;M;22;Non;Non;[60k€ - 80k€];Commercial;Panel Truck;no;0;9;Highly Urban/ Urban;23/02/2022 06:59;complet;dev_integral;[200€ - 400€]
205;F;20;Non;Non;[20k€ - 40k€];Private;Minivan;no;3;0;z_Highly Rural/ Rural;12/05/2022 06:56;complet;dev_premium;[200€ - 400€]
206;F;81;Non;Non;[40k€ - 60k€];Private;z_SUV;no;0;6;Highly Urban/ Urban;25/04/2022 11:54;complet;dev_integral;[200€ - 400€]
207;F;40;Oui;Oui;[> 100k€];Commercial;Panel Truck;no;0;18;Highly Urban/ Urban;11/01/2022 17:35;complet;dev_vip;[800€ - 1000€]
208;M;10;Non;Non;[40k€ - 60k€];Private;Minivan;no;2;1;z_Highly Rural/ Rural;22/05/2022 15:08;complet;dev_express;[200€ - 400€]
209;F;80;Non;Non;[< 20k€];Private;z_SUV;no;0;5;z_Highly Rural/ Rural;22/04/2022 23:48;complet;dev_integral;[200€ - 400€]
210;M;18;Non;Non;[60k€ - 80k€];Commercial;z_SUV;no;0;1;Highly Urban/ Urban;28/02/2022 07:30;complet;dev_integral;[200€ - 400€]
211;F;66;Non;Non;[40k€ - 60k€];Commercial;Pickup;no;1;12;Highly Urban/ Urban;27/03/2022 09:03;complet;dev_integral;[200€ - 400€]
212;M;9;Non;Non;[80k€ - 100k€];Private;Minivan;yes;2;9;Highly Urban/ Urban;05/04/2022 09:02;complet;dev_integral;[200€ - 400€]
213;M;91;Non;Non;[< 20k€];Private;z_SUV;no;0;16;z_Highly Rural/ Rural;14/04/2022 05:13;complet;dev_premium;[200€ - 400€]
214;M;62;Non;Non;[20k€ - 40k€];Private;Sports Car;no;0;1;Highly Urban/ Urban;30/04/2022 22:44;complet;dev_premium;[400€ - 600€]
215;F;19;Non;Non;[40k€ - 60k€];Private;z_SUV;no;0;14;Highly Urban/ Urban;15/03/2022 18:00;complet;dev_integral;[200€ - 400€]
216;M;70;Non;Non;[> 100k€];Private;z_SUV;no;1;15;Highly Urban/ Urban;16/05/2022 04:25;complet;dev_premium;[200€ - 400€]
217;F;56;Non;Oui;[60k€ - 80k€];Private;Minivan;yes;1;15;Highly Urban/ Urban;21/02/2022 10:07;complet;dev_integral;[200€ - 400€]
218;M;37;Non;Non;[> 100k€];Private;Minivan;yes;1;8;Highly Urban/ Urban;15/04/2022 09:55;complet;dev_express;[200€ - 400€]
219;F;0;Non;Non;[< 20k€];Private;Minivan;no;3;15;Highly Urban/ Urban;24/02/2022 23:09;complet;dev_express;[200€ - 400€]
220;M;75;Oui;Oui;[< 20k€];Commercial;z_SUV;no;3;9;Highly Urban/ Urban;07/02/2022 09:30;complet;dev_express;[200€ - 400€]
221;M;81;Oui;Oui;[> 100k€];Commercial;Van;yes;0;12;Highly Urban/ Urban;14/01/2022 04:38;complet;dev_integral;[200€ - 400€]
222;M;75;Non;Non;[> 100k€];Commercial;Pickup;no;6;0;Highly Urban/ Urban;14/01/2022 19:18;complet;dev_integral;[200€ - 400€]
223;M;2;Non;Non;[> 100k€];Private;Minivan;yes;1;15;Highly Urban/ Urban;18/03/2022 03:03;complet;dev_integral;[200€ - 400€]
224;F;81;Non;Non;[20k€ - 40k€];Private;Pickup;yes;5;1;Highly Urban/ Urban;25/01/2022 12:09;complet;dev_express;[200€ - 400€]
225;M;83;Non;Non;[> 100k€];Commercial;Minivan;yes;0;9;z_Highly Rural/ Rural;14/05/2022 20:36;complet;dev_integral;[200€ - 400€]
226;M;69;Non;Non;[< 20k€];Private;z_SUV;no;0;13;z_Highly Rural/ Rural;09/02/2022 09:54;complet;dev_integral;[200€ - 400€]
227;M;67;Non;Non;[> 100k€];Commercial;Pickup;no;3;13;Highly Urban/ Urban;04/02/2022 16:41;complet;dev_express;[200€ - 400€]
228;M;26;Non;Non;[> 100k€];Commercial;Pickup;no;0;16;Highly Urban/ Urban;10/02/2022 01:30;complet;dev_integral;[200€ - 400€]
229;F;16;Non;Non;[> 100k€];Private;z_SUV;no;0;17;Highly Urban/ Urban;12/02/2022 20:23;complet;dev_premium;[200€ - 400€]
230;M;61;Non;Non;[80k€ - 100k€];Private;Pickup;yes;3;15;Highly Urban/ Urban;30/03/2022 15:14;complet;dev_integral;[200€ - 400€]
231;F;20;Oui;Oui;[60k€ - 80k€];Private;Van;yes;1;0;Highly Urban/ Urban;07/05/2022 20:16;complet;dev_express;[200€ - 400€]
232;M;17;Non;Non;[80k€ - 100k€];Private;Sports Car;no;3;14;Highly Urban/ Urban;14/03/2022 14:20;complet;dev_express;[200€ - 400€]
233;F;54;Non;Oui;[20k€ - 40k€];Private;Sports Car;no;6;4;Highly Urban/ Urban;20/03/2022 06:02;complet;dev_integral;[200€ - 400€]
234;M;54;Non;Non;[40k€ - 60k€];Private;Minivan;no;2;14;Highly Urban/ Urban;03/05/2022 13:03;complet;dev_express;[200€ - 400€]
235;F;72;Non;Non;[60k€ - 80k€];Private;Minivan;no;0;0;Highly Urban/ Urban;23/01/2022 05:09;complet;dev_integral;[200€ - 400€]
236;M;32;Non;Non;[80k€ - 100k€];Commercial;Panel Truck;no;0;12;Highly Urban/ Urban;17/02/2022 11:06;complet;dev_express;[200€ - 400€]
237;F;57;Non;Oui;[20k€ - 40k€];Private;z_SUV;no;0;12;Highly Urban/ Urban;23/04/2022 08:07;complet;dev_integral;[200€ - 400€]
238;M;61;Non;Non;[< 20k€];Commercial;Pickup;no;4;7;Highly Urban/ Urban;10/02/2022 20:57;complet;dev_premium;[400€ - 600€]
239;M;63;Non;Non;[> 100k€];Private;z_SUV;no;0;13;Highly Urban/ Urban;03/01/2022 06:55;complet;dev_premium;[400€ - 600€]
240;M;73;Non;Non;[20k€ - 40k€];Commercial;Minivan;no;3;5;Highly Urban/ Urban;11/04/2022 20:56;complet;dev_integral;[200€ - 400€]
241;F;28;Oui;Oui;[60k€ - 80k€];Private;Pickup;yes;0;11;Highly Urban/ Urban;20/05/2022 20:26;complet;dev_express;[200€ - 400€]
242;F;44;Oui;Oui;[20k€ - 40k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;17/03/2022 14:31;complet;dev_vip;[800€ - 1000€]
243;F;48;Non;Oui;[60k€ - 80k€];Private;Minivan;no;2;18;Highly Urban/ Urban;30/01/2022 12:21;complet;dev_express;[200€ - 400€]
244;F;48;Non;Non;[20k€ - 40k€];Private;Pickup;yes;1;1;Highly Urban/ Urban;04/05/2022 21:01;complet;dev_express;[200€ - 400€]
245;M;65;Non;Non;[> 100k€];Commercial;Panel Truck;yes;5;20;Highly Urban/ Urban;20/02/2022 04:37;complet;dev_integral;[200€ - 400€]
246;M;14;Non;Non;[40k€ - 60k€];Commercial;Sports Car;no;0;1;Highly Urban/ Urban;30/01/2022 08:56;complet;dev_integral;[200€ - 400€]
247;F;58;Non;Non;[40k€ - 60k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;16/01/2022 23:49;complet;dev_integral;[200€ - 400€]
248;F;77;Non;Non;[20k€ - 40k€];Commercial;Van;no;7;1;Highly Urban/ Urban;16/02/2022 21:11;complet;dev_express;[200€ - 400€]
249;F;39;Non;Non;[> 100k€];Commercial;Van;no;3;10;Highly Urban/ Urban;18/04/2022 16:02;complet;dev_integral;[200€ - 400€]
250;F;72;Non;Non;[40k€ - 60k€];Commercial;Panel Truck;yes;5;0;Highly Urban/ Urban;24/02/2022 09:29;complet;dev_integral;[200€ - 400€]
251;M;79;Non;Non;[20k€ - 40k€];Private;Minivan;no;0;20;Highly Urban/ Urban;30/05/2022 04:03;complet;dev_integral;[200€ - 400€]
252;M;34;Non;Oui;[60k€ - 80k€];Private;Minivan;no;0;16;z_Highly Rural/ Rural;20/03/2022 03:44;complet;dev_express;[200€ - 400€]
253;M;56;Non;Non;[20k€ - 40k€];Commercial;Pickup;yes;0;7;z_Highly Rural/ Rural;18/05/2022 13:33;complet;dev_premium;[200€ - 400€]
254;F;68;Oui;Oui;[< 20k€];Private;z_SUV;no;0;10;Highly Urban/ Urban;02/02/2022 08:14;complet;dev_premium;[400€ - 600€]
255;M;16;Non;Non;[80k€ - 100k€];Private;Van;yes;2;9;Highly Urban/ Urban;26/05/2022 22:28;complet;dev_premium;[400€ - 600€]
256;M;19;Non;Non;[40k€ - 60k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;07/01/2022 22:44;complet;dev_premium;[200€ - 400€]
257;F;60;Non;Non;[> 100k€];Private;Minivan;no;0;14;Highly Urban/ Urban;02/03/2022 14:10;complet;dev_premium;[200€ - 400€]
258;F;10;Non;Non;[80k€ - 100k€];Private;Minivan;no;0;11;Highly Urban/ Urban;17/05/2022 21:03;complet;dev_vip;[400€ - 600€]
259;F;17;Non;Non;[60k€ - 80k€];Private;Minivan;no;0;11;Highly Urban/ Urban;03/02/2022 17:35;complet;dev_premium;[400€ - 600€]
260;F;70;Non;Non;[20k€ - 40k€];Commercial;Pickup;yes;2;7;z_Highly Rural/ Rural;10/02/2022 16:53;complet;dev_express;[200€ - 400€]
261;M;49;Non;Non;[< 20k€];Private;z_SUV;no;0;1;z_Highly Rural/ Rural;25/05/2022 17:39;complet;dev_express;[200€ - 400€]
262;M;72;Non;Oui;[> 100k€];Private;Minivan;yes;0;16;Highly Urban/ Urban;23/02/2022 11:01;complet;dev_express;[200€ - 400€]
263;M;54;Oui;Oui;[80k€ - 100k€];Commercial;Minivan;no;4;1;Highly Urban/ Urban;17/02/2022 04:34;complet;dev_express;[200€ - 400€]
264;M;12;Oui;Oui;[< 20k€];Commercial;Pickup;yes;1;1;Highly Urban/ Urban;24/01/2022 13:18;complet;dev_integral;[200€ - 400€]
265;F;55;Non;Oui;[40k€ - 60k€];Commercial;Van;yes;4;9;Highly Urban/ Urban;14/05/2022 13:46;complet;dev_integral;[200€ - 400€]
266;M;63;Non;Oui;[< 20k€];Commercial;Panel Truck;no;0;12;Highly Urban/ Urban;26/05/2022 12:01;complet;dev_express;[200€ - 400€]
267;M;71;Non;Non;[> 100k€];Private;z_SUV;no;3;12;Highly Urban/ Urban;04/01/2022 23:37;complet;dev_integral;[200€ - 400€]
268;F;5;Non;Non;[> 100k€];Private;z_SUV;no;0;7;Highly Urban/ Urban;10/05/2022 23:39;complet;dev_integral;[200€ - 400€]
269;M;37;Non;Non;[20k€ - 40k€];Private;Minivan;no;0;8;z_Highly Rural/ Rural;25/05/2022 08:12;complet;dev_premium;[400€ - 600€]
270;M;66;Non;Oui;[< 20k€];Private;Minivan;yes;4;7;Highly Urban/ Urban;23/03/2022 15:44;complet;dev_integral;[200€ - 400€]
271;M;24;Non;Non;[20k€ - 40k€];Commercial;z_SUV;yes;0;1;Highly Urban/ Urban;26/03/2022 15:22;complet;dev_express;[200€ - 400€]
272;M;84;Non;Non;[20k€ - 40k€];Commercial;z_SUV;no;4;9;Highly Urban/ Urban;28/03/2022 18:19;complet;dev_integral;[200€ - 400€]
273;F;53;Non;Non;[80k€ - 100k€];Private;z_SUV;yes;0;17;Highly Urban/ Urban;30/05/2022 14:54;complet;dev_integral;[200€ - 400€]
274;F;37;Non;Oui;[< 20k€];Private;z_SUV;no;7;1;Highly Urban/ Urban;24/03/2022 15:19;complet;dev_integral;[200€ - 400€]
275;F;85;Non;Non;[< 20k€];Private;z_SUV;no;2;4;z_Highly Rural/ Rural;16/02/2022 20:38;complet;dev_integral;[200€ - 400€]
276;F;46;Non;Non;[> 100k€];Private;Minivan;no;6;17;Highly Urban/ Urban;17/04/2022 06:36;complet;dev_premium;[200€ - 400€]
277;M;72;Non;Oui;[60k€ - 80k€];Private;z_SUV;no;4;5;z_Highly Rural/ Rural;20/01/2022 06:27;complet;dev_express;[200€ - 400€]
278;F;42;Non;Oui;[60k€ - 80k€];Private;Minivan;yes;3;8;Highly Urban/ Urban;25/01/2022 05:14;complet;dev_express;[200€ - 400€]
279;M;57;Non;Non;[20k€ - 40k€];Private;Sports Car;no;2;9;Highly Urban/ Urban;03/02/2022 18:51;complet;dev_integral;[200€ - 400€]
280;F;71;Non;Non;[60k€ - 80k€];Private;z_SUV;no;4;13;Highly Urban/ Urban;07/03/2022 19:35;complet;dev_express;[200€ - 400€]
281;M;28;Non;Non;[> 100k€];Private;Sports Car;no;0;11;Highly Urban/ Urban;29/04/2022 21:33;complet;dev_integral;[200€ - 400€]
282;M;10;Non;Oui;[60k€ - 80k€];Commercial;z_SUV;no;0;11;Highly Urban/ Urban;06/05/2022 19:13;complet;dev_integral;[200€ - 400€]
283;F;72;Oui;Oui;[20k€ - 40k€];Private;Van;yes;0;1;Highly Urban/ Urban;22/01/2022 11:01;complet;dev_express;[200€ - 400€]
284;F;3;Non;Non;[80k€ - 100k€];Private;z_SUV;no;0;11;Highly Urban/ Urban;09/03/2022 00:05;complet;dev_express;[200€ - 400€]
285;M;19;Non;Non;[80k€ - 100k€];Private;Sports Car;no;0;9;Highly Urban/ Urban;24/05/2022 09:52;complet;dev_integral;[200€ - 400€]
286;F;52;Non;Non;[20k€ - 40k€];Commercial;Panel Truck;yes;0;1;Highly Urban/ Urban;29/04/2022 13:22;complet;dev_express;[200€ - 400€]
287;M;65;Non;Non;[< 20k€];Private;Minivan;no;2;1;z_Highly Rural/ Rural;17/04/2022 11:37;complet;dev_integral;[200€ - 400€]
288;M;39;Non;Non;[80k€ - 100k€];Private;Minivan;yes;2;11;Highly Urban/ Urban;18/03/2022 16:21;complet;dev_express;[200€ - 400€]
289;M;45;Non;Non;[40k€ - 60k€];Private;Sports Car;no;4;1;Highly Urban/ Urban;24/04/2022 02:36;complet;dev_integral;[200€ - 400€]
290;F;50;Non;Non;[20k€ - 40k€];Private;z_SUV;no;3;0;Highly Urban/ Urban;16/04/2022 20:05;complet;dev_express;[200€ - 400€]
291;M;53;Oui;Oui;[20k€ - 40k€];Commercial;Van;yes;1;1;Highly Urban/ Urban;15/05/2022 02:01;complet;dev_integral;[200€ - 400€]
292;M;68;Non;Non;[60k€ - 80k€];Commercial;Sports Car;no;0;1;Highly Urban/ Urban;06/03/2022 16:17;complet;dev_express;[200€ - 400€]
293;M;85;Non;Non;[20k€ - 40k€];Private;Minivan;yes;0;17;z_Highly Rural/ Rural;27/03/2022 16:30;complet;dev_integral;[200€ - 400€]
294;M;62;Non;Non;[20k€ - 40k€];Commercial;z_SUV;no;0;7;Highly Urban/ Urban;01/03/2022 05:37;complet;dev_integral;[200€ - 400€]
295;M;27;Non;Non;[< 20k€];Commercial;Pickup;yes;7;4;Highly Urban/ Urban;17/01/2022 08:56;complet;dev_express;[200€ - 400€]
296;M;9;Non;Non;[> 100k€];Commercial;Panel Truck;yes;4;17;Highly Urban/ Urban;12/01/2022 00:08;complet;dev_express;[200€ - 400€]
297;M;49;Non;Non;[> 100k€];Private;Sports Car;no;0;14;Highly Urban/ Urban;26/03/2022 22:33;complet;dev_express;[200€ - 400€]
298;M;2;Oui;Oui;[60k€ - 80k€];Private;Minivan;yes;0;7;Highly Urban/ Urban;04/05/2022 06:00;complet;dev_express;[200€ - 400€]
299;F;67;Non;Non;[40k€ - 60k€];Commercial;Pickup;yes;1;6;Highly Urban/ Urban;20/04/2022 01:02;complet;dev_express;[200€ - 400€]
300;F;35;Non;Oui;[< 20k€];Private;Sports Car;no;2;8;z_Highly Rural/ Rural;07/01/2022 02:17;complet;dev_integral;[200€ - 400€]
301;M;4;Non;Non;[20k€ - 40k€];Private;z_SUV;no;2;6;z_Highly Rural/ Rural;04/02/2022 17:14;complet;dev_premium;[400€ - 600€]
302;M;28;Non;Oui;[40k€ - 60k€];Private;z_SUV;no;2;1;Highly Urban/ Urban;18/03/2022 00:31;complet;dev_express;[200€ - 400€]
303;F;48;Non;Non;[> 100k€];Commercial;Panel Truck;yes;1;16;Highly Urban/ Urban;23/03/2022 16:17;complet;dev_express;[200€ - 400€]
304;M;15;Non;Non;[40k€ - 60k€];Private;z_SUV;no;0;11;Highly Urban/ Urban;15/02/2022 05:03;complet;dev_express;[200€ - 400€]
305;M;48;Non;Non;[< 20k€];Private;z_SUV;no;0;13;z_Highly Rural/ Rural;29/01/2022 14:32;complet;dev_express;[200€ - 400€]
306;F;69;Non;Oui;[40k€ - 60k€];Private;Sports Car;no;0;1;Highly Urban/ Urban;05/03/2022 22:31;complet;dev_integral;[200€ - 400€]
307;F;64;Non;Non;[< 20k€];Commercial;Panel Truck;yes;0;0;Highly Urban/ Urban;18/05/2022 18:08;complet;dev_integral;[200€ - 400€]
308;M;40;Non;Non;[< 20k€];Commercial;Sports Car;no;4;1;Highly Urban/ Urban;05/01/2022 05:06;complet;dev_integral;[200€ - 400€]
309;M;68;Non;Oui;[< 20k€];Private;z_SUV;no;0;8;Highly Urban/ Urban;14/03/2022 17:19;complet;dev_express;[200€ - 400€]
310;M;55;Non;Non;[20k€ - 40k€];Private;Minivan;yes;3;5;Highly Urban/ Urban;25/02/2022 19:06;complet;dev_express;[200€ - 400€]
311;F;13;Non;Non;[20k€ - 40k€];Private;Sports Car;no;10;2;Highly Urban/ Urban;07/02/2022 06:33;complet;dev_integral;[200€ - 400€]
312;F;28;Non;Non;[< 20k€];Commercial;Minivan;no;2;1;Highly Urban/ Urban;31/05/2022 16:23;complet;dev_integral;[200€ - 400€]
313;M;28;Non;Non;[> 100k€];Private;Minivan;no;0;11;Highly Urban/ Urban;15/04/2022 13:43;complet;dev_integral;[200€ - 400€]
314;F;65;Non;Non;[> 100k€];Private;z_SUV;no;3;9;Highly Urban/ Urban;23/03/2022 06:12;complet;dev_express;[200€ - 400€]
315;F;14;Non;Non;[40k€ - 60k€];Commercial;Pickup;yes;0;1;Highly Urban/ Urban;22/04/2022 03:55;complet;dev_integral;[200€ - 400€]
316;F;19;Non;Oui;[< 20k€];Commercial;z_SUV;no;3;8;z_Highly Rural/ Rural;10/05/2022 07:15;complet;dev_express;[200€ - 400€]
317;M;18;Non;Oui;[40k€ - 60k€];Commercial;z_SUV;no;1;5;Highly Urban/ Urban;06/05/2022 19:28;complet;dev_express;[200€ - 400€]
318;M;30;Non;Non;[20k€ - 40k€];Private;Minivan;no;1;4;Highly Urban/ Urban;25/03/2022 21:08;complet;dev_express;[200€ - 400€]
319;M;54;Non;Non;[> 100k€];Private;Minivan;no;4;10;Highly Urban/ Urban;11/05/2022 05:29;complet;dev_express;[200€ - 400€]
320;M;5;Non;Non;[20k€ - 40k€];Commercial;Minivan;no;0;7;Highly Urban/ Urban;26/02/2022 03:44;complet;dev_premium;[400€ - 600€]
321;M;83;Non;Oui;[80k€ - 100k€];Commercial;Pickup;no;0;4;z_Highly Rural/ Rural;24/02/2022 11:57;complet;dev_integral;[200€ - 400€]
322;F;5;Non;Oui;[40k€ - 60k€];Private;Pickup;no;2;9;Highly Urban/ Urban;20/04/2022 02:39;complet;dev_integral;[200€ - 400€]
323;F;23;Non;Oui;[40k€ - 60k€];Commercial;Minivan;no;0;10;Highly Urban/ Urban;09/05/2022 14:13;complet;dev_express;[200€ - 400€]
324;M;73;Oui;Oui;[< 20k€];Commercial;Pickup;no;0;5;z_Highly Rural/ Rural;18/05/2022 10:53;complet;dev_integral;[200€ - 400€]
325;M;18;Non;Non;[40k€ - 60k€];Private;Pickup;yes;0;8;Highly Urban/ Urban;03/03/2022 12:44;complet;dev_integral;[200€ - 400€]
326;M;39;Non;Non;[40k€ - 60k€];Private;Minivan;no;2;14;Highly Urban/ Urban;31/05/2022 09:26;complet;dev_integral;[200€ - 400€]
327;F;4;Oui;Oui;[40k€ - 60k€];Private;z_SUV;no;0;9;Highly Urban/ Urban;08/04/2022 14:50;complet;dev_integral;[200€ - 400€]
328;M;25;Non;Oui;[20k€ - 40k€];Private;z_SUV;no;0;3;z_Highly Rural/ Rural;12/02/2022 09:30;complet;dev_premium;[400€ - 600€]
329;F;53;Non;Non;[40k€ - 60k€];Private;z_SUV;no;0;1;Highly Urban/ Urban;23/03/2022 22:44;complet;dev_vip;[800€ - 1000€]
330;M;86;Non;Oui;[< 20k€];Private;z_SUV;no;0;10;z_Highly Rural/ Rural;23/03/2022 10:29;complet;dev_premium;[400€ - 600€]
331;F;57;Oui;Oui;[< 20k€];Private;Pickup;yes;2;1;Highly Urban/ Urban;16/03/2022 23:26;complet;dev_integral;[200€ - 400€]
332;F;55;Non;Non;[< 20k€];Private;Minivan;no;3;7;Highly Urban/ Urban;08/05/2022 19:44;complet;dev_premium;[400€ - 600€]
333;F;62;Non;Non;[> 100k€];Commercial;Pickup;no;0;0;Highly Urban/ Urban;18/03/2022 04:48;complet;dev_express;[200€ - 400€]
334;F;23;Non;Non;[80k€ - 100k€];Commercial;Pickup;no;1;3;Highly Urban/ Urban;27/01/2022 21:31;complet;dev_integral;[200€ - 400€]
335;M;79;Non;Oui;[80k€ - 100k€];Commercial;Panel Truck;no;0;1;z_Highly Rural/ Rural;02/03/2022 15:25;complet;dev_integral;[200€ - 400€]
336;M;41;Non;Oui;[60k€ - 80k€];Private;Van;yes;1;8;Highly Urban/ Urban;05/05/2022 04:13;complet;dev_integral;[200€ - 400€]
337;F;52;Non;Oui;[< 20k€];Private;Pickup;no;0;6;Highly Urban/ Urban;08/02/2022 16:14;complet;dev_integral;[200€ - 400€]
338;M;34;Non;Non;[60k€ - 80k€];Private;z_SUV;no;7;1;Highly Urban/ Urban;09/05/2022 02:49;complet;dev_integral;[200€ - 400€]
339;M;79;Non;Non;[40k€ - 60k€];Commercial;Minivan;no;3;1;Highly Urban/ Urban;15/04/2022 05:20;complet;dev_express;[200€ - 400€]
340;M;14;Non;Non;[40k€ - 60k€];Private;Sports Car;yes;9;8;Highly Urban/ Urban;14/03/2022 03:24;complet;dev_express;[200€ - 400€]
341;F;24;Oui;Oui;[20k€ - 40k€];Commercial;Van;no;1;6;z_Highly Rural/ Rural;10/02/2022 04:16;complet;dev_express;[200€ - 400€]
342;F;25;Non;Non;[40k€ - 60k€];Private;z_SUV;no;3;0;Highly Urban/ Urban;11/05/2022 03:18;complet;dev_express;[200€ - 400€]
343;M;68;Non;Oui;[< 20k€];Private;Minivan;yes;3;5;Highly Urban/ Urban;20/05/2022 14:45;complet;dev_integral;[200€ - 400€]
344;F;56;Non;Non;[80k€ - 100k€];Commercial;z_SUV;no;0;9;Highly Urban/ Urban;29/05/2022 18:16;complet;dev_integral;[200€ - 400€]
345;F;59;Non;Oui;[< 20k€];Private;Minivan;no;6;1;z_Highly Rural/ Rural;03/03/2022 08:35;complet;dev_express;[200€ - 400€]
346;F;7;Non;Non;[60k€ - 80k€];Private;z_SUV;no;5;4;Highly Urban/ Urban;28/05/2022 19:05;complet;dev_integral;[200€ - 400€]
347;F;3;Non;Non;[60k€ - 80k€];Private;z_SUV;no;0;9;Highly Urban/ Urban;13/01/2022 03:29;complet;dev_integral;[200€ - 400€]
348;F;51;Non;Non;[80k€ - 100k€];Private;Minivan;yes;2;9;Highly Urban/ Urban;21/03/2022 21:34;complet;dev_express;[200€ - 400€]
349;M;63;Non;Oui;[< 20k€];Private;z_SUV;no;1;6;Highly Urban/ Urban;03/03/2022 09:25;complet;dev_integral;[200€ - 400€]
